id,city,district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
0,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,351,Yes,exterior, floor 1,2300000
1,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,298,Yes,exterior, floor 3,1750000
2,Barcelona,Eixample,Sant Antoni,good condition,Penthouse,2,90,Yes,exterior, floor 7,590000
3,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,2,130,Yes,exterior, floor 1,450000
4,Barcelona,Horta-Guinardó,Can Baró,good condition,Terraced,3,110,No,exterior,Multiple,430000
5,Barcelona,Eixample,el Fort Pienc,good condition,Penthouse,5,161,Yes,exterior, floor 7,690000
6,Barcelona,Eixample,la Sagrada Família,good condition,Duplex,2,110,No,exterior, floor 1,395000
7,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,106,Yes,exterior, floor 1,595000
8,Barcelona,Les Corts,Pedralbes,good condition,Flat,2,62,Yes,exterior, floor 5,450000
9,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,5,152,Yes,exterior, floor 5,665000
10,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,3,83,Yes,exterior, floor 2,270000
11,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,80,Yes,exterior, floor 1,690000
12,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,80,Yes,exterior, floor 3,630000
13,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,132,Yes,exterior, floor 1,790000
14,Barcelona,Sant Martí,el Poblenou,good condition,Flat,1,41,No,exterior, floor 1,177000
15,Barcelona,Les Corts,les Corts,good condition,Flat,2,80,Yes,exterior, floor 1,375000
16,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,5,170,Yes,exterior, floor 3,950000
17,Barcelona,Les Corts,Pedralbes,good condition,Flat,3,110,Yes,exterior, floor 8,800000
18,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,3,65,No,exterior, floor 1,169000
19,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,194,Yes,exterior, floor 2,840000
20,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,3,79,No,exterior,ground floor,329000
21,Barcelona,Sant Martí,el Poblenou,good condition,Flat,3,168,Yes,exterior, floor 25,1090000
22,Barcelona,Sant Andreu,el Congrés i els Indians,good condition,Flat,2,64,Yes,exterior, floor 1,185000
23,Barcelona,Sant Martí,la Vila Olímpica del Poblenou,good condition,Flat,3,130,Yes,exterior,mezzanine,695000
24,Barcelona,Sant Martí,la Vila Olímpica del Poblenou,good condition,Flat,3,111,Yes,exterior, floor 4,586000
25,Barcelona,Sant Martí,Sant Martí de Provençals,good condition,Flat,4,83,Yes,exterior, floor 3,239000
26,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,120,Yes,exterior, floor 6,790000
27,Barcelona,Eixample,Sant Antoni,good condition,Flat,5,181,Yes,exterior, floor 2,995000
28,Barcelona,Eixample,la Sagrada Família,good condition,Flat,4,94,Yes,exterior, floor 1,420000
29,Barcelona,Sant Martí,el Poblenou,good condition,Flat,3,195,Yes,exterior, floor 3,640000
30,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Penthouse,2,108,Yes,exterior, floor 6,649000
31,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,169,Yes,exterior, floor 1,775000
32,Barcelona,Sant Martí,el Clot,good condition,Flat,4,93,Yes,exterior, floor 6,340000
33,Barcelona,Eixample,Sant Antoni,good condition,Flat,4,140,Yes,exterior, floor 5,495000
34,Barcelona,Sant Martí,el Camp de l'Arpa del Clot,good condition,Flat,4,102,Yes,exterior, floor 3,345000
35,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,174,Yes,exterior, floor 1,950000
36,Barcelona,Sants-Montjuïc,la Bordeta,good condition,Detached,4,239,No,exterior,Multiple,690000
37,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Penthouse,3,153,Yes,exterior, floor 9,1495000
38,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,144,Yes,exterior, floor 1,650000
39,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,124,Yes,exterior, floor 3,530000
40,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,115,Yes,exterior, floor 2,660000
41,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,131,Yes,exterior, floor 6,560000
42,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Duplex,2,100,Yes,exterior, floor 5,800000
43,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,115,Yes,exterior, floor 3,990000
44,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,277,Yes,exterior, floor 5,1900000
45,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Flat,3,104,Yes,exterior, floor 1,470000
46,Barcelona,Sant Martí,el Poblenou,good condition,Flat,2,71,Yes,interior, floor 2,370000
47,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,228,Yes,interior,ground floor,650000
48,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,160,Yes,exterior, floor 7,880000
49,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,House,5,380,No,exterior,Multiple,1750000
50,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Detached,6,585,No,exterior,Multiple,2350000
51,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,7,271,Yes,exterior, floor 1,1800000
52,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,82,Yes,exterior, floor 3,380000
53,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,175,Yes,exterior, floor 4,1600000
54,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,2,84,Yes,exterior, floor 3,475000
55,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,1,63,Yes,exterior, floor 1,335000
56,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Penthouse,4,189,Yes,exterior, floor 7,1175000
57,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,150,Yes,exterior,ground floor,780000
58,Barcelona,Horta-Guinardó,el Carmel,good condition,Flat,3,50,Yes,exterior,mezzanine,135000
59,Barcelona,Les Corts,la Maternitat i Sant Ramon,good condition,Penthouse,3,130,Yes,exterior, floor 9,530000
60,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Duplex,3,223,Yes,exterior, floor 8,1995000
61,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Duplex,3,153,Yes,exterior, floor 8,1495000
62,Barcelona,Eixample,la Sagrada Família,good condition,Flat,3,85,Yes,exterior, floor 2,339000
63,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,160,Yes,exterior, floor 4,850000
64,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,120,Yes,exterior, floor 3,575000
65,Barcelona,Les Corts,Pedralbes,good condition,Flat,4,206,Yes,exterior, floor 11,1250000
66,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,4,232,Yes,exterior, floor 2,1175000
